RefDes,Name,Value,M,Qty,Mfg P/N,Distributor,Distributor P/N
C4,CAP_0603,0.1uF,1,,,,
C208,CAP_0603,0.1uF,1,,,,
C210,CAP_0603,0.1uF,1,,,,
C217,CAP_0603,0.1uF,1,4,C1608X7R1H103K080AA,Mouser,810-C1608X7R1H103K
C303,CAP_0805,10uF,1,1,,,
C302,CAP_0603,1uF,1,,,,
C304,CAP_0603,1uF,1,,,,
C305,CAP_0603,1uF,1,3,,,
C5,CAP_0603,680pF,1,,,,
C203,CAP_0603,680pF,1,,,,
C207,CAP_0603,680pF,1,3,,,
C3,CAP_0603,82pF,1,,,,
C201,CAP_0603,82pF,1,,,,
C204,CAP_0603,82pF,1,3,,,
CLK_IN,PHONEJACK2,,1,,,,
CLK_OUT,PHONEJACK2,,1,,,,
GATE_A,PHONEJACK2,,1,,,,
GATE_B,PHONEJACK2,,1,,,,
GATE_C,PHONEJACK2,,1,,,,
OUT_A,PHONEJACK2,,1,,,,
OUT_B,PHONEJACK2,,1,,,,
OUT_C,PHONEJACK2,,1,,,,
RST_IN,PHONEJACK2,,1,,,,
RST_OUT,PHONEJACK2,,1,10,,,
D201,LM4041_F,LM4040-5.0,1,1,,,
D301,,MRA4003T3G,1,,,,
D302,,MRA4003T3G,1,2,MRA4003T3G,Mouser,863-MRA4003T3G
J1,socket,"0.1"" dual 12-pin socket",1,1,CES-106-01-T-D,Digi-Key,SAM1086-06-ND
L301,IND_0805,BLM21PG221SN1D,1,,,,
L303,IND_0805,BLM21PG221SN1D,1,2,BLM21PG221SN1D,Digi-Key,490-1054-1-ND
LED1,LED,,1,,,,
LED2,LED,,1,,,,
LED3,LED,,1,,,,
LED4,LED,,1,,,,
LED5,LED,,1,,,,
POWER,Power Header,,1,,,,
Q201,MMBT3904,MMBT3904,1,,,,
Q202,MMBT3904,MMBT3904,1,,,,
R4,RES_0603,71k5,1,,,,
R5,RES_0603,100k,1,,,,
R6,RES,100,1,,,,
R7,RES,100,1,,,,
R8,RES,100,1,,,,
R9,RES,100,1,,,,
R10,RES,100,1,,,,
R11,RES,330,1,,,,
R12,RES,330,1,,,,
R13,RES,330,1,,,,
R14,RES,330,1,,,,
R15,RES,330,1,,,,
R16,RES_0603,11k8,1,,,,
R17,RES_0603,11k8,1,,,,
R21,RES_0603,100,1,,,,
R201,RES_0603,71k5,1,,,,
R202,RES_0603,100k,1,,,,
R203,RES_0603,11k8,1,,,,
R204,RES_0603,11k8,1,,,,
R205,RES_0603,100,1,,,,
R209,RES_0603,71k5,1,,,,
R210,RES_0603,100k,1,,,,
R212,RES_0603,11k8,1,,,,
R213,RES_0603,11k8,1,,,,
R214,RES_0603,100,1,,,,
R217,RES,10k,1,,,,
R220,RES,100k,1,,,,
R226,RES,10k,1,,,,
R228,RES,100k,1,,,,
R232,RES_0603,2k5,1,,,,
U1,LD1117S50CTR,LD1117S50CTR,1,,,,
U2,SN74HCT04PWLE,,1,,,,
U3,TL074PW,,1,,,,
U302,LD1117S33CTR,LD1117S33CTR,1,,,,
