RefDes,Name,Value,M,Qty,Mfg P/N,Distributor,Distributor P/N
C2,CAP_0603,0.01uF,1,,,,
C6,CAP_0603,0.01uF,1,,,,
C7,CAP_0603,0.01uF,1,3,C1608X7R1H103K080AA,Mouser,810-C1608X7R1H103K
C1,CAP_0603,0.1uF,1,,,,
C100,CAP_0603,0.1uF,1,,,,
C102,CAP_0603,0.1uF,1,,,,
C106,CAP_0603,0.1uF,1,,,,
C108,CAP_0603,0.1uF,1,,,,
C111,CAP_0603,0.1uF,1,6,C1608X7R1H103K080AA,Mouser,810-C1608X7R1H103K
C15,CAP_0805,10uF,1,,,,
C101,CAP_0805,10uF,1,2,EMK212BB7106MG-T,Mouser,963-EMK212BB7106MG-T
C110,CAP_0603,1uF,1,1,GCM188R71E105KA64D,Mouser,81-GCM188R71E105KA4D
C10,CAP_0805,2.2uF,1,,,,
C11,CAP_0805,2.2uF,1,,,,
C12,CAP_0805,2.2uF,1,,,,
C13,CAP_0805,2.2uF,1,,,,
C14,CAP_0805,2.2uF,1,5,LMK212AB7225KD-T,Mouser,963-LMK212AB7225KD-T
C104,CAP_0603,33pf,1,,,,
C105,CAP_0603,33pf,1,2,,,
H100,ST-Link V2,"6-pin 0.1"" SMT single R/A",1,1,GEC36SBSN-M89 ,Digi-Key, S1113E-36-ND
J1,serial ,"3-pin 0.1"" SMT single R/A",1,1,GEC36SBSN-M89 ,Digi-Key, S1113E-36-ND
J3,header,"12-pin 0.1"" SMT dual Vert",1,1,95278-101-12LF,Digi-Key,609-5754-ND
L302,IND_0603,FERRITE BEAD 2.5 KOHM 0603 1LN,1,1,BLM18BD252SN1D,Digi-Key,490-1028-1-ND
OLED1,SSD1306,"0.94"" 128x64 OLED bare",1,1,,ebay,
R2,RES_0603,10K,1,,,,
R3,RES_0603,10K,1,,,,
R4,RES_0603,10K,1,,,,
R5,RES_0603,10K,1,,,,
R6,RES_0603,10K,1,,,,
R7,RES_0603,10K,1,,,,
R8,RES_0603,10K,1,,,,
R9,RES_0603,10K,1,,,,
R102,RES_0603,10K,1,9,,stock,
R1,RES_0603,390K,1,1,,stock,
R100,RES_0603,4k7,1,,,,
R101,RES_0603,4k7,1,2,,stock,
U100,24AA256,24AA256,1,1,24AA256-I/MS,Digi-Key,24AA256-I/MS-ND
U102,STM32F373CCT6,STM32F373CCT6,1,1,STM32F373CCT6,Future Electronics,STM32F373CCT6
Y100,HC49/4H_SMX,8MHz,1,1,7A-8.000MAAJ-T,Digi-Key,887-1448-1-ND
